,gas,retention_time,peak_area,peak_height,correction_factor,file_name,sample_type,column,carrier
1,CH4,3.121,10.2436,1.345,0.0004,data/GC_Data/Feb/01DEC22FID_TC_06.RES,pUS(12C)180d_T2_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,3.980,26787.4142,3097.840,3.4306,data/GC_Data/Feb/01DEC22FID_TC_06.RES,pUS(12C)180d_T2_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.160,1404.2954,163.727,0.0509,data/GC_Data/Feb/30Sept22FID_TC_20.RES,0.5mL_NT-Core-Test_Failed,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,C02,4.005,11202.5436,1161.963,1.4347,data/GC_Data/Feb/30Sept22FID_TC_20.RES,0.5mL_NT-Core-Test_Failed,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.114,139.2097,14.657,0.0050,data/GC_Data/Feb/20OCT22FID_TC_06.RES,p83m(-4C)30d_T2_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,C02,3.960,11514.4444,1113.197,1.4746,data/GC_Data/Feb/20OCT22FID_TC_06.RES,p83m(-4C)30d_T2_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,2.524,26.2092,2.180,0.0010,data/GC_Data/Feb/03NOV22FID_TC_06.RES,p54m(-4C)30d_T3_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,3.123,775.6922,88.558,0.0281,data/GC_Data/Feb/03NOV22FID_TC_06.RES,p54m(-4C)30d_T3_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,3.962,31343.0165,3201.353,4.0140,data/GC_Data/Feb/03NOV22FID_TC_06.RES,p54m(-4C)30d_T3_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,2.508,35.6146,2.954,0.0014,data/GC_Data/Feb/03NOV22FID_TC_12.RES,p83m(4C)7d_T3_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
