""	"Blank1"	"Blank2"	"p35m.-4C.0d"	"p35m.-4C.180d"	"p35m.-4C.30d"	"p35m.-4C.7d"	"p35m.12C.0d"	"p35m.12C.180d"	"p35m.12C.30d"	"p35m.12C.7d"	"p35m.4C.0d"	"p35m.4C.180d"	"p35m.4C.30d"	"p35m.4C.7d"	"p54m.-4C.0d"	"p54m.-4C.180d"	"p54m.-4C.30d"	"p54m.-4C.7d"	"p54m.12C.0d"	"p54m.12C.180d"	"p54m.12C.30d"	"p54m.12C.7d"	"p54m.4C.0d"	"p54m.4C.180d"	"p54m.4C.30d"	"p54m.4C.7d"	"p83m.-4C.0d"	"p83m.-4C.180d"	"p83m.-4C.30d"	"p83m.-4C.7d"	"p83m.12C.0d"	"p83m.12C.180d"	"p83m.12C.30d"	"p83m.12C.7d"	"p83m.4C.0d"	"p83m.4C.180d"	"p83m.4C.30d"	"p83m.4C.7d"	"pUS.12C.0d"	"pUS.12C.180d"	"pUS.12C.30d"	"pUS.12C.7d"
"ASV_88"	0	0	1017	535	663	1022	1545	109	858	989	734	51	592	717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	8	0	0	0	0	0
"ASV_89"	0	0	69	0	0	113	345	75	473	298	287	0	0	35	0	283	0	0	0	0	0	0	0	0	104	73	377	488	0	831	710	34	261	549	575	68	2160	467	0	0	0	0
"ASV_90"	0	0	549	626	694	726	1058	122	815	784	778	45	723	811	0	0	0	0	0	0	0	0	0	0	27	30	67	185	64	117	0	0	103	67	0	0	61	137	0	0	0	0
"ASV_91"	0	0	124	514	214	239	258	0	547	69	173	0	299	286	0	0	0	0	0	0	0	0	0	0	0	0	760	916	137	1173	238	0	190	367	347	0	598	975	0	0	0	0
"ASV_92"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	1705	955	0	231	681	1206	0	2789	371	0	0	0	0
"ASV_93"	0	0	745	840	671	314	1024	161	785	675	1028	172	1114	593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_94"	0	0	152	142	0	0	127	0	0	62	102	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	489	664	240	597	912	0	527	1089	362	58	1919	488	0	0	0	0
"ASV_95"	0	0	361	408	448	326	859	65	669	335	439	45	790	760	0	0	0	0	0	0	0	0	0	0	43	0	86	72	9	306	330	13	329	423	161	37	619	131	0	0	0	0
"ASV_96"	0	0	97	71	149	0	269	36	158	85	118	17	0	114	0	50	0	0	0	0	44	0	0	0	32	13	813	918	50	905	572	27	209	331	590	19	714	1617	0	0	0	0
"ASV_97"	0	0	329	423	429	224	329	58	413	322	241	0	322	330	0	464	363	0	0	0	163	0	0	40	346	199	654	771	132	232	69	0	60	56	87	0	80	376	115	123	82	107
"ASV_98"	0	0	108	0	120	0	980	215	1088	1006	1212	0	308	103	0	84	41	0	0	0	10	0	0	0	175	0	799	806	0	212	0	0	82	121	0	0	0	350	13	9	24	0
"ASV_99"	0	0	67	0	157	0	118	0	0	0	0	0	0	0	0	207	0	0	0	0	44	0	0	0	82	19	706	1222	744	852	203	25	161	227	354	26	547	791	370	304	327	253
"ASV_100"	0	0	272	460	474	242	642	46	424	373	283	49	248	282	0	0	0	0	0	0	0	0	0	0	0	0	243	979	99	472	194	25	213	383	63	45	635	652	0	0	0	0
"ASV_101"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1478	1353	1143	811	301	0	84	243	296	36	1143	826	0	0	0	0
"ASV_102"	0	0	140	122	0	72	73	33	91	68	87	0	99	25	615	398	496	1115	1009	39	360	137	165	55	774	684	64	90	0	134	99	25	69	121	22	33	195	96	26	42	0	22
"ASV_103"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3014	688	1768	2071
"ASV_104"	0	0	51	129	0	0	57	14	40	27	27	44	112	23	619	441	753	871	792	0	320	240	191	44	428	699	59	88	18	91	62	0	71	142	97	0	151	71	140	182	112	57
"ASV_105"	0	0	151	309	276	0	218	35	151	165	141	0	216	202	0	0	0	0	0	0	0	0	0	0	0	0	740	649	0	821	509	0	269	490	331	33	833	659	0	0	0	0
"ASV_106"	0	0	72	43	0	50	82	22	28	38	49	17	39	49	668	374	665	1130	885	23	303	384	141	47	516	589	94	73	85	136	87	0	63	84	45	0	133	56	28	38	19	21
"ASV_107"	0	0	0	0	0	0	0	4654	0	0	0	0	0	0	0	0	0	0	0	2132	0	0	0	0	0	0	0	0	0	0	0	181	0	202	0	5	0	0	0	0	0	0
"ASV_108"	0	0	57	86	112	25	57	0	65	36	101	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	692	1188	665	617	581	0	238	536	374	0	810	729	0	0	0	0
"ASV_109"	0	0	0	432	541	292	1356	198	1009	965	1004	77	726	398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_110"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1184	1101	754	641	613	0	248	720	603	0	942	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_111"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	132	0	0	0	18	0	0	0	0	0	0	0	2269	1552	1447	1452
"ASV_112"	0	0	0	0	0	0	0	4412	0	0	0	52	0	0	0	34	0	0	0	236	0	0	0	0	48	0	0	0	0	89	0	454	0	0	77	264	45	0	142	318	404	72
"ASV_113"	0	0	0	30	0	0	57	30	80	43	104	0	33	38	595	308	344	940	933	33	281	601	189	76	464	756	58	0	0	111	83	0	103	43	93	24	51	131	0	0	0	0
"ASV_114"	0	0	501	1102	645	475	721	45	204	92	308	63	1122	856	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	17	13	84	0	0	0	0	0
"ASV_115"	0	0	96	226	205	226	1241	187	1345	1579	706	68	296	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0
"ASV_116"	0	0	97	0	153	93	94	0	59	55	68	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	68	46	0	0	0	0	1293	2126	919	1042
